id,type,description,status
48196813,ping,Ping test from Canada to 43.132.86.2,Stopped
48196814,ping,Ping test from Canada to 43.152.54.100,Stopped
48196815,ping,Ping test from Mexico to 43.132.86.2,Stopped
48196816,ping,Ping test from Mexico to 43.152.54.100,Stopped
48196817,ping,SG Ping measurement to 185.136.96.1,Stopped
48196818,ping,Ping test from Vietnam to 43.132.86.2,Stopped
48196819,ping,Ping test from Vietnam to 43.152.54.100,Stopped
48196820,ping,IP Geolocation - 92.205.1.85,Stopped
48196821,ping,Ping test from Laos to 43.132.86.2,Stopped
48196822,ping,Ping test from Laos to 43.152.54.100,Stopped
48196823,ping,AU Ping measurement to 185.136.96.1,Stopped
48196824,ping,IP Geolocation - 92.205.1.85,Stopped
48196825,ping,Ping test from Thailand to 43.132.86.2,Stopped
48196826,ping,Ping test from Thailand to 43.152.54.100,Stopped
48196827,ping,RU Ping measurement to 185.136.96.1,Stopped
48196828,ping,Ping test from Myanmar to 43.132.86.2,No suitable probes
48196829,ping,Ping test from Myanmar to 43.152.54.100,No suitable probes
48196830,ping,IP Geolocation - 92.205.1.85,Stopped
48196831,ping,Ping test from Singapore to 43.132.86.2,Stopped
48196832,ping,Ping test from Singapore to 43.152.54.100,Stopped
48196833,ping,GB Ping measurement to 185.136.96.1,Stopped
48196834,ping,Ping test from Indonesia to 43.132.86.2,Stopped
48196835,ping,Ping test from Indonesia to 43.152.54.100,Stopped
48196836,ping,Ping measurement to ec2-3-20-0-0.us-east-2.compute.amazonaws.com,Stopped
48196837,ping,Ping test from Philippines to 43.132.86.2,Stopped
48196838,ping,Ping test from Philippines to 43.152.54.100,Stopped
48196839,ping,IT Ping measurement to 185.136.96.1,Stopped
48196840,ping,Ping test from Malaysia to 43.132.86.2,Stopped
48196841,ping,Ping test from Malaysia to 43.152.54.100,Stopped
48196842,ping,CH Ping measurement to 185.136.96.1,Stopped
48196843,ping,Ping test from Japan to 43.132.86.2,Stopped
48196844,ping,Ping test from Japan to 43.152.54.100,Stopped
