
   id asn_v4 asn_v6 country     status     
  577      -      -            Abandoned   
  578   1764   1764   at       Abandoned   
  579      -  30972   fr       Abandoned   
  580  34108  34108   nl       Abandoned   
  581      -      -   sa       Abandoned   
  582   8376      -   jo       Abandoned   
  583   6866      -   cy       Connected   
  584  50903  50903   fr       Abandoned   
  585      -      -   us       Abandoned   
  586 202236      -   fr       Abandoned   
  587   9031   9031   be     Disconnected  
  588 202236      -   fr       Abandoned   
  589   1853   1853   at       Connected   
  590      -      -            Abandoned   
  591  20001  20001   us       Connected   
  592      -      -   gr       Abandoned   
  593  49800      -   am       Connected   
  594      -      -            Abandoned   
  595  29422      -   fi       Abandoned   
  596  14988      -   bw       Connected   
  597      -      -   fr    Never Connected
  598      -      -            Abandoned   
  599 201080 201080   fr       Connected   
  600  50168  50168   se       Abandoned   
  601  13124  13124   bg       Abandoned   
  602   3333   3333   at       Abandoned   
  603  16086      -   fi       Abandoned   
  604  56639      -   ua       Connected   
  605  28905      -   cz       Connected   
  606      -      -            Abandoned   
  607  56791      -   ru       Connected   
  608   8402      -   ru       Abandoned   
  609      -      -   ru       Abandoned   
  610  34688  34688   pl     Disconnected  
  611  47408      -   it     Disconnected  
  612      -      -   ru       Abandoned   
  613  39506      -   fr       Abandoned   
  614  51944      -   pl     Disconnected  
  615   8303      -   de       Abandoned   
  616  51290  51290   pl       Abandoned   
  617  15605  15605   it       Connected   
  618  21211      -   lt       Abandoned   
  619   8412      -   at       Connected   
  620   6893   6893   ch       Connected   
  621  24689      -   ru       Connected   
  622   2116      -   no       Abandoned   
  623  56472      -   it       Connected   
  624   3292   3292   dk       Connected   
  625      -      -            Abandoned   
  626  35401      -   ru       Connected   
  627   3292   3292   dk       Abandoned   
  628  43782  43782   ru       Abandoned   
  629  50620  50620   fr       Connected   
  630  42643      -   pl       Abandoned   
  631 206238 206238   nl       Abandoned   
  632      -   6939   es       Connected   
  633   2847   2847   lt       Abandoned   
  634   1930      -   pt       Abandoned   
  635  35320      -   ua       Abandoned   
  636      -      -   pt       Abandoned   
  637  39904  39904            Abandoned   
  638      -      -   de       Abandoned   
  639 196687      -   cz       Abandoned   
  640   8426      -   es       Abandoned   
  641  41419      -   kz       Abandoned   
  642      -      -   nl    Never Connected
  643      -      -   pl       Abandoned   
  644  16347  16347   fr       Abandoned   
  645  25534      -   kz       Connected   
  646  12703      -   gb       Connected   
  647      -      -            Abandoned   
  648      -      -   fr       Abandoned   
  649      -      -            Abandoned   
  650  12874  12874   it       Connected   
  651  29314  56662   pl       Connected   
  652   8402      -   ru       Connected   
  653  25229      -   ua       Abandoned   
  654  12754      -   il       Abandoned   
  655   5391   6939   hr       Abandoned   
  656   1853      -   at       Connected   
  657  34814      -   ua       Connected   
  658  39912  39912   at       Abandoned   
  659  13041      -   es       Abandoned   
  660  15704      -   es       Abandoned   
  661  51405  51405   lu       Abandoned   
  662      -      -   at       Abandoned   
  663      -      -            Abandoned   
  664      -      -   ru       Abandoned   
  665   1653      -   se     Disconnected  
  666   3333   3333   de       Abandoned   
  667   1136      -   nl       Connected   
  668  42514  42514   ru       Connected   
  669  33924  33924   al       Abandoned   
  670 197186      -   pl       Abandoned   
  671 196619      -   pt       Abandoned   
  672  31543  31543   at       Abandoned   
  673  42306      -   cz       Connected   
  674  42431      -   bg       Connected   
  675  38955      -   at       Abandoned   
  676  52037      -   es       Abandoned   
  677  35761      -   bg       Abandoned   
  678      -      -   ru       Abandoned   
  679  12924      -   es       Abandoned   
  680      -      -            Abandoned   
  681  35731  35731   ua       Connected   
  682  28907  28907   ua       Connected   
  683  51182  51182   ae       Abandoned   
  684   6799   6799   gr       Connected   
  685  56639      -   ua       Abandoned   
  686 206610      -   lu       Abandoned   
  687      -      -   bg       Abandoned   
  688  34279  34279   ro       Abandoned   
  689   1221   1221   au       Connected   
  690   3292   3292   dk       Abandoned   
  691   3308   3308   dk       Connected   
  692      -      -   pt       Abandoned   
  693   8412   8412   at       Abandoned   
  694  35100      -   se       Connected   
  695      -      -   pt       Abandoned   
  696  12754      -   il       Abandoned   
  697   5479      -   lt       Connected   
  698  34279  34279   ro       Abandoned   
  699  29632   8772   ua       Connected   
  700  16190  51225   am       Abandoned   
  701      -      -            Abandoned   
  702  44869  44869   dk       Abandoned   
  703  21409      -   fr       Abandoned   
  704  21466      -   ch       Connected   
  705   3327      -   ee       Connected   
  706   3320   3320   de       Connected   
  707      -      -   gb       Abandoned   
  708  41381      -   it       Abandoned   
  709      -      -            Abandoned   
  710      -      -   md       Abandoned   
  711      -   3243   pt       Abandoned   
  712  12874  12874   it       Connected   
  713  20912  20912   it       Connected   
  714  62418      -   bg       Connected   
  715   3352      -   es       Connected   
  716      -      -            Abandoned   
  717  12322  12322   fr       Connected   
  718  50629      -   de       Abandoned   
  719   2611   2611   be       Connected   
  720  34554  34554   ch       Connected   
  721      -  25192   cz       Abandoned   
  722   3243   3243   pt       Abandoned   
